,tweet_dt,id,username,name,tweet
8169,2022-02-13,1494115530286018568,bigredrobot,Dylhouse,"@TheKyleStarks @BrianWinkeler Every issue gets increasingly extreme, with the baby ending up on the international s… https://t.co/jRFxgng9sT"
8170,2022-02-13,1494115448362786823,wanda_lotus,Wanda Lotus,That Halftime Show Was A Big Deal https://t.co/uGsq01EGf1
8171,2022-02-13,1494115251150901254,Otic_alive,IGHOSTI,@RamsNFL Full superbowl halftime show https://t.co/L3db48lNRW
8172,2022-02-13,1494115240417525760,KorieSchultz,korie schultz,"LIVE 2/16/22 - Durham Report, US Truck Convoy, Super Bowl Halftime Show, Bob Saget Update &amp;amp; More https://t.co/UTc57mEZ87 @wdwamy444"
8173,2022-02-13,1494115021370052609,Otic_alive,IGHOSTI,@XXL Full superbowl halftime show https://t.co/L3db48lNRW
8174,2022-02-13,1494114776632283139,localmaninarea,fuzz,Rewatching the halftime show and I remember thinking 50 cent didnt get chubby he was just hanging upside down too long
8175,2022-02-13,1494114775550369794,Purplepass61,Sandi Long,"Prince....

Every Super Bowl Halftime Show, Ranked From Worst to Best https://t.co/eekO2tgEtY via @RollingStone"
8176,2022-02-13,1494114686769446913,mal_mcd,Mal,"@CocaCola make it happen, Superbowl 57 Halftime Show Starring Yeo Records https://t.co/sXa5JFSVvo"
8177,2022-02-13,1494114588144680962,Otic_alive,IGHOSTI,@NOSTRAYZ Full superbowl halftime show https://t.co/L3db48lNRW
8178,2022-02-13,1494114463225630720,FasterthaMyou,FasterthaMyou,@raylewis sb halftime show stsrts and ends with @prince. C'mon man!
8179,2022-02-13,1494114431218769925,matt__17,matt,Just rewatched the Super Bowl halftime show and i got chills again
8180,2022-02-13,1494114393780543493,WEHipHopSA,WE 94.5,Dr. Dre reveals gang references had to be removed from Super Bowl halftime show https://t.co/e7o5yMiOei
8181,2022-02-13,1494114386633396225,blykmyk44,Myk,@Realm0888 @laurendesylva @aszarkarias @benshapiro It’s like the tweets this weekend about the SB Halftime show. It… https://t.co/cdoW5AWnsb
8182,2022-02-13,1494114375958990849,HardCabs,HardCabs,"HAPPY 2022 Super Bowl!  Whether you watch for the game, the halftime show, or the commercials we bet you’re going t… https://t.co/4qWBDHk69W"
8183,2022-02-13,1494114260082962434,ABGray,Tony Gray,Super Bowl TV Ratings for star studded Halftime Show… https://t.co/gwE7Mj5p25
8184,2022-02-13,1494114226184597506,tj_cotter,TJ Cotter,@tjcttr Similar to “Snoop Dog smoked weed before the halftime show” category…
8185,2022-02-13,1494114144764796930,SpiffBenevolent,Spiff,"new from me /
The Halftime Show Designed to Make You Forget How Anti-Black the NFL Really is:
https://t.co/I1MsrXCQoc"
8186,2022-02-13,1494113833530675208,DevyAbstrakt,Devohn Bland,When Mary J. Bridge sand No More Drama at the halftime show I could've cried
8187,2022-02-13,1494113814958288899,ChicagoModerate,Shakman Exempt,"@wspieler She deserved a 100% tip, had to miss the super bowl halftime show"
8188,2022-02-13,1494113747077505026,mauisrf7,gregggardner,@4lisaguerrero @soledadobrien Oh bet this is the same guy complaining about the way the women were dressed at the halftime show
8189,2022-02-13,1494113657331982337,Anjhinger032821,Anjhinger,Bkt ganun isa lang kinanta ni Eminem sa Halftime show #SuperBowl #Eminem #HalfTimeShow
8190,2022-02-13,1494113627082735622,_StaySolid4,Numbers 🍊,The Game could’ve at least performed one song during that halftime show. I forgot he was on Aftermath label during that time lol
8191,2022-02-13,1494113549009960965,reverentialtone,reverentialtone,@DonLifePirate @ToastBloss @SabersKnight @Angelvee1901 @peaches_rhi A Pulitzer-winning spoken word poet for a SB ha… https://t.co/e1f2qtgXNu
8192,2022-02-13,1494113490159947776,ilytd131bi0HY,🎀𝙎𝘼𝘾𝙀 0🔝Carrot na Maharot 🥕,Feel ko alam ko reaction ng older brother ko kung napanuod nya yung halftime show 😂😂😂 memorize pa ata nya kanta ni eminem
8193,2022-02-13,1494113487034925059,jesusamericanag,AG,J Lo and Ben Affleck Dancing At Super Bowl LVI Halftime Show 😭 #Shorts https://t.co/f2mMJlHMF3 via @YouTube
8194,2022-02-13,1494113439966453762,StanDailyPro,STAN DAILY NEWS & DISCUSSIONS,I think there’s a chance that he will drop much sooner than we expect. I mean all of these pictures out and Eminem’… https://t.co/p6dIakSC5f
8195,2022-02-13,1494113090249580552,TheVulgarChef,The Vulgar Chef,Oh white people really are mad about the halftime show I thought it was just a meme
8196,2022-02-13,1494112964164698126,anaagironn,Ana Girón,el halftime show necesita a kanye y jay z
8197,2022-02-13,1494112854236344325,kiku0311,キクちゃん,"Halftime showってほんとに毎回楽しすぎる😍✨👏
8 Mile見てたな〜👀
https://t.co/FC5qchR2yz
#SuperBowl"
8198,2022-02-13,1494112811177418752,Cardfan1000,-,@TheOnlySweeney @JStreble82 is the UofL postgame show going to start after halftime?
8199,2022-02-13,1494112787408293889,Liljonnyrancid,BooUrns1980,Never thought I'd hear Teenage Anarchist playing as the music at a dog show halftime of a college basketball game.… https://t.co/H28863a9Xd
8200,2022-02-13,1494112737890381825,lmarilyncrawfor,marilyncrawford,"@WendellPierce @rolandsmartin Yes like the only person taking a knee during the halftime show is Eminem, the white performer. Love Eminem"
8201,2022-02-13,1494112571313565698,SPBPHD,scott poulson-bryant,apparently the words of someone who’s never seen a halftime show before 😆🤷🏾‍♂️😳 https://t.co/jSG0ZrF88B
8202,2022-02-13,1494112525994147841,Manonfire20012,Alleyezonme,"Snoop Dogg Smoked A Joint Before Going On Stage For Super Bowl Halftime Show, Footage Emerges https://t.co/QmeTbRNKvm"
8203,2022-02-13,1494112463050063875,alimbeaux,swoondubu ☺️🍲,"*Talking about the Super Bowl Halftime Show*

Mom: I didn’t know any of those performers…

Me: I’m sure you didn’t,… https://t.co/pj70ziznbO"
8204,2022-02-13,1494112417999114251,SashaMania36,Legit_Boss36,I can't stop watching the Superbowl Halftime Show. It was so good. https://t.co/hib0RfAw9T
8205,2022-02-13,1494112292354461697,longislandtonv,longislandtonv,"Thank you! 
#GenX #GenXLife

https://t.co/GaeuDJrlTz"
8206,2022-02-13,1494112289418465280,beccahoma,Becca Homa,All I could think about today is which team is Britney Spears going to invest in and how awesome will the 2022 NWSL… https://t.co/ddQedkfJH0
8207,2022-02-13,1494112063274188802,SDJohnson515,Sharon D. Johnson,"@FarriaLawGroup ""No matter how many satisfied slaves they trot out to ""cut capers"" at a halftime show"" 💥🥊"
8208,2022-02-13,1494111822886191106,DenisDvezine,Denis Vézina,Mary J. Blige Calls Super Bowl Halftime Show Backlash ‘Small Conversation’ | Complex https://t.co/8STgy22DoW
8209,2022-02-13,1494111516945043456,Fernascimento_o,gadinho da Liz,vi agora só o halftime show do superbowl completo e CA RA IO
8210,2022-02-13,1494111485152301057,1quiddy,quiddy,@marismenu he def was feeling the halftime show lol https://t.co/5f1sums39w
8211,2022-02-13,1494111475283152899,allhiphopcom,allhiphopcom,Rudy Giuliani Blasts Eminem For Kneeling During Super Bowl Halftime Show https://t.co/aJ2xTEONfJ
8212,2022-02-13,1494111335885463555,marquesosu3,Marques Jones,I hear way too many white people saying “Eminem should have gotten more time during the halftime show.” Y’all do re… https://t.co/YQO6c375Or
8213,2022-02-13,1494111296781963269,drreznicek,Matthew L. Reznicek,NY Post out here getting blunt with Snoop. They’re going to weed out any bad performances! https://t.co/tmGJkzggav
8214,2022-02-13,1494111161154953218,SpectralFilter,Panoptic Convolutions Artist,"@AngeBassa “Finally, a super bowl halftime show that doesn’t cater to old people!”

“…oh”"
8215,2022-02-13,1494111112144502785,_koochiquito,ale ‹3,"Who Should Perform at 2023 Super Bowl? https://t.co/nNbGfDoAm2

voten por bangtan pls"
8216,2022-02-13,1494111083111788547,abdulaziizov,Abdulazizov,": How many times have you watched the super bowl halftime show?
Me; Yes
#SuperBowl"
