,tweet_dt,id,username,name,tweet,hashtag,geo
300,2022-02-20,1495469048204697600,BilMalik15,Bilal Malik,"On this week's ""By the Laces"" podcast, we recap #SBLVI and look ahead to #NFL offseason! Now available on… https://t.co/Zc9hy3iYCf",SuperBowl,True
301,2022-02-20,1495469005527830531,cadenwendy,Caden W Rodriguez🐎🏀⚾️⚽️🏂☘️,"RT @SNFonNBC: You're a #SuperBowl Champion, @obj!

#RamsHouse | #SBLVI https://t.co/T3oHp03eYq",SuperBowl,True
302,2022-02-20,1495468945775927296,strahovskiz,Smol E has no smol :(,"RT @GalaxyImbecile: had to make a superbowl 50cent

@SmolBrainsNFT x @50cent

#50cent #superbowl #ahhrealmonsters #smolbrains #smolverse #s…",SuperBowl,False
303,2022-02-20,1495468916323528704,commonopoly_,commonopoly,"RT @GalaxyImbecile: had to make a superbowl 50cent

@SmolBrainsNFT x @50cent

#50cent #superbowl #ahhrealmonsters #smolbrains #smolverse #s…",SuperBowl,False
304,2022-02-20,1495468626308210699,88J4i,🍊,"RT @freebitco: Get ready for Super Bowl Sunday!

One of the biggest annual sporting events in the world is almost here and we're covering i…",SuperBowl,False
305,2022-02-20,1495468617621590017,unlewis,This Too Shall Pass / Black Lives Matter,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
306,2022-02-20,1495468397341069320,HortBen,Ben Hort,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
307,2022-02-20,1495468330781659139,PeterMarcus,Peter Marcus,RT @cono_coin: Enjoy your #superbowl with halftime show @SnoopDogg @Eminem @drdre @kendricklnation @maryjblige  #deathrowrecords  #nfl #hip…,SuperBowl,True
308,2022-02-20,1495468329817022465,Kevinhennessy23,KLH,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
309,2022-02-20,1495468299475374080,NotoriousRBF,Rose Benson,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,True
310,2022-02-20,1495468180583731200,Missy_Nations,Missy Nations,"RT @LukeRussert: The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to h…",SuperBowl,False
311,2022-02-20,1495468170102165520,SmolkHogan,SMOLK HOGAN 💪 -✨🪄,"RT @GalaxyImbecile: had to make a superbowl 50cent

@SmolBrainsNFT x @50cent

#50cent #superbowl #ahhrealmonsters #smolbrains #smolverse #s…",SuperBowl,False
312,2022-02-20,1495467965437079553,LukeRussert,Luke Russert,"The Sunday before a federal holiday—government, banks and schools closed tomorrow. I don’t know…seems like a good day to have a #SuperBowl",SuperBowl,False
313,2022-02-20,1495467918804406272,Mr_Kannaway,Mr-Kannaway,"RT @mr_funsun: 🌐#AbsoluteFact 
Developers destroyed historical landmark: 
#HollywoodParkRaceTrack
4 #SuperBowl arena
Gentrifiers SHOULD hav…",SuperBowl,False
